Temperature - (Celsius), Year, Statistics, Country, ISO3
3.45453, 1931, Jan Average, France, FRA
2.89195, 1931, Feb Average, France, FRA
5.35012, 1931, Mar Average, France, FRA
8.62003, 1931, Apr Average, France, FRA
13.9491, 1931, May Average, France, FRA
17.7149, 1931, Jun Average, France, FRA
17.6101, 1931, Jul Average, France, FRA
16.9111, 1931, Aug Average, France, FRA
12.4615, 1931, Sep Average, France, FRA
10.371, 1931, Oct Average, France, FRA
7.87052, 1931, Nov Average, France, FRA
2.56607, 1931, Dec Average, France, FRA
4.19089, 1932, Jan Average, France, FRA
0.74367, 1932, Feb Average, France, FRA
5.22212, 1932, Mar Average, France, FRA
7.92511, 1932, Apr Average, France, FRA
12.0475, 1932, May Average, France, FRA
15.6307, 1932, Jun Average, France, FRA
17.2185, 1932, Jul Average, France, FRA
20.3541, 1932, Aug Average, France, FRA
17.3009, 1932, Sep Average, France, FRA
10.9972, 1932, Oct Average, France, FRA
7.15732, 1932, Nov Average, France, FRA
4.67967, 1932, Dec Average, France, FRA
1.35415, 1933, Jan Average, France, FRA
3.83172, 1933, Feb Average, France, FRA
7.67534, 1933, Mar Average, France, FRA
9.93661, 1933, Apr Average, France, FRA
12.877, 1933, May Average, France, FRA
14.9829, 1933, Jun Average, France, FRA
19.3592, 1933, Jul Average, France, FRA
20.0371, 1933, Aug Average, France, FRA
16.7061, 1933, Sep Average, France, FRA
11.7678, 1933, Oct Average, France, FRA
5.19331, 1933, Nov Average, France, FRA
-0.7987, 1933, Dec Average, France, FRA
2.86651, 1934, Jan Average, France, FRA
2.6844, 1934, Feb Average, France, FRA
6.04805, 1934, Mar Average, France, FRA
10.5041, 1934, Apr Average, France, FRA
13.9112, 1934, May Average, France, FRA
17.0645, 1934, Jun Average, France, FRA
19.8772, 1934, Jul Average, France, FRA
17.4132, 1934, Aug Average, France, FRA
17.0428, 1934, Sep Average, France, FRA
11.7448, 1934, Oct Average, France, FRA
5.34531, 1934, Nov Average, France, FRA
7.28389, 1934, Dec Average, France, FRA
2.03243, 1935, Jan Average, France, FRA
4.92113, 1935, Feb Average, France, FRA
5.97415, 1935, Mar Average, France, FRA
8.95315, 1935, Apr Average, France, FRA
11.3612, 1935, May Average, France, FRA
17.4207, 1935, Jun Average, France, FRA
19.547, 1935, Jul Average, France, FRA
18.0064, 1935, Aug Average, France, FRA
16.1143, 1935, Sep Average, France, FRA
10.65, 1935, Oct Average, France, FRA
7.05492, 1935, Nov Average, France, FRA
3.48592, 1935, Dec Average, France, FRA
6.35691, 1936, Jan Average, France, FRA
4.30824, 1936, Feb Average, France, FRA
7.77347, 1936, Mar Average, France, FRA
8.18632, 1936, Apr Average, France, FRA
13.2215, 1936, May Average, France, FRA
16.1021, 1936, Jun Average, France, FRA
17.2284, 1936, Jul Average, France, FRA
18.0471, 1936, Aug Average, France, FRA
15.9434, 1936, Sep Average, France, FRA
8.67564, 1936, Oct Average, France, FRA
6.42607, 1936, Nov Average, France, FRA
3.96238, 1936, Dec Average, France, FRA
4.95735, 1937, Jan Average, France, FRA
6.67672, 1937, Feb Average, France, FRA
5.37187, 1937, Mar Average, France, FRA
9.68438, 1937, Apr Average, France, FRA
14.2132, 1937, May Average, France, FRA
16.7464, 1937, Jun Average, France, FRA
18.7256, 1937, Jul Average, France, FRA
19.0196, 1937, Aug Average, France, FRA
15.4125, 1937, Sep Average, France, FRA
11.6116, 1937, Oct Average, France, FRA
6.01571, 1937, Nov Average, France, FRA
2.74796, 1937, Dec Average, France, FRA
3.96166, 1938, Jan Average, France, FRA
3.48815, 1938, Feb Average, France, FRA
8.62334, 1938, Mar Average, France, FRA
7.51943, 1938, Apr Average, France, FRA
11.5117, 1938, May Average, France, FRA
16.9964, 1938, Jun Average, France, FRA
17.5859, 1938, Jul Average, France, FRA
18.1424, 1938, Aug Average, France, FRA
15.7306, 1938, Sep Average, France, FRA
11.2186, 1938, Oct Average, France, FRA
9.18359, 1938, Nov Average, France, FRA
2.12894, 1938, Dec Average, France, FRA
5.17423, 1939, Jan Average, France, FRA
4.44042, 1939, Feb Average, France, FRA
5.06336, 1939, Mar Average, France, FRA
10.1617, 1939, Apr Average, France, FRA
11.2267, 1939, May Average, France, FRA
16.4432, 1939, Jun Average, France, FRA
17.2661, 1939, Jul Average, France, FRA
18.0538, 1939, Aug Average, France, FRA
15.1951, 1939, Sep Average, France, FRA
10.2509, 1939, Oct Average, France, FRA
8.65508, 1939, Nov Average, France, FRA
2.37715, 1939, Dec Average, France, FRA
-1.5328, 1940, Jan Average, France, FRA
4.00966, 1940, Feb Average, France, FRA
6.90854, 1940, Mar Average, France, FRA
9.61112, 1940, Apr Average, France, FRA
13.3172, 1940, May Average, France, FRA
16.6817, 1940, Jun Average, France, FRA
17.0303, 1940, Jul Average, France, FRA
17.2018, 1940, Aug Average, France, FRA
15.4944, 1940, Sep Average, France, FRA
10.4938, 1940, Oct Average, France, FRA
7.40262, 1940, Nov Average, France, FRA
0.49581, 1940, Dec Average, France, FRA
0.34998, 1941, Jan Average, France, FRA
4.16143, 1941, Feb Average, France, FRA
7.07564, 1941, Mar Average, France, FRA
7.99755, 1941, Apr Average, France, FRA
10.1148, 1941, May Average, France, FRA
16.7048, 1941, Jun Average, France, FRA
19.264, 1941, Jul Average, France, FRA
16.7978, 1941, Aug Average, France, FRA
15.2557, 1941, Sep Average, France, FRA
10.6382, 1941, Oct Average, France, FRA
6.14648, 1941, Nov Average, France, FRA
3.30894, 1941, Dec Average, France, FRA
-0.9471, 1942, Jan Average, France, FRA
-0.5676, 1942, Feb Average, France, FRA
7.39531, 1942, Mar Average, France, FRA
10.4209, 1942, Apr Average, France, FRA
13.1126, 1942, May Average, France, FRA
16.7053, 1942, Jun Average, France, FRA
18.0664, 1942, Jul Average, France, FRA
18.7457, 1942, Aug Average, France, FRA
16.8882, 1942, Sep Average, France, FRA
13.2316, 1942, Oct Average, France, FRA
5.3972, 1942, Nov Average, France, FRA
4.38092, 1942, Dec Average, France, FRA
4.5777, 1943, Jan Average, France, FRA
5.1629, 1943, Feb Average, France, FRA
7.87022, 1943, Mar Average, France, FRA
11.4099, 1943, Apr Average, France, FRA
14.2245, 1943, May Average, France, FRA
16.3244, 1943, Jun Average, France, FRA
19.1443, 1943, Jul Average, France, FRA
19.353, 1943, Aug Average, France, FRA
15.9257, 1943, Sep Average, France, FRA
12.5973, 1943, Oct Average, France, FRA
5.71022, 1943, Nov Average, France, FRA
3.27165, 1943, Dec Average, France, FRA
4.4699, 1944, Jan Average, France, FRA
1.82841, 1944, Feb Average, France, FRA
4.71397, 1944, Mar Average, France, FRA
11.0893, 1944, Apr Average, France, FRA
13.1992, 1944, May Average, France, FRA
15.8025, 1944, Jun Average, France, FRA
18.4187, 1944, Jul Average, France, FRA
20.9215, 1944, Aug Average, France, FRA
15.0565, 1944, Sep Average, France, FRA
10.1485, 1944, Oct Average, France, FRA
6.88136, 1944, Nov Average, France, FRA
3.10275, 1944, Dec Average, France, FRA
-1.4558, 1945, Jan Average, France, FRA
6.52761, 1945, Feb Average, France, FRA
8.09999, 1945, Mar Average, France, FRA
11.8172, 1945, Apr Average, France, FRA
14.9659, 1945, May Average, France, FRA
17.7959, 1945, Jun Average, France, FRA
20.1305, 1945, Jul Average, France, FRA
18.1528, 1945, Aug Average, France, FRA
16.6498, 1945, Sep Average, France, FRA
12.252, 1945, Oct Average, France, FRA
6.08008, 1945, Nov Average, France, FRA
4.4983, 1945, Dec Average, France, FRA
1.3429, 1946, Jan Average, France, FRA
6.16659, 1946, Feb Average, France, FRA
6.63696, 1946, Mar Average, France, FRA
11.2175, 1946, Apr Average, France, FRA
13.1462, 1946, May Average, France, FRA
15.721, 1946, Jun Average, France, FRA
19.0879, 1946, Jul Average, France, FRA
17.8685, 1946, Aug Average, France, FRA
16.3313, 1946, Sep Average, France, FRA
10.9886, 1946, Oct Average, France, FRA
6.80378, 1946, Nov Average, France, FRA
1.57223, 1946, Dec Average, France, FRA
0.61968, 1947, Jan Average, France, FRA
1.11316, 1947, Feb Average, France, FRA
7.08789, 1947, Mar Average, France, FRA
11.3049, 1947, Apr Average, France, FRA
14.8733, 1947, May Average, France, FRA
18.1876, 1947, Jun Average, France, FRA
20.4532, 1947, Jul Average, France, FRA
21.1644, 1947, Aug Average, France, FRA
17.8261, 1947, Sep Average, France, FRA
11.9209, 1947, Oct Average, France, FRA
8.31532, 1947, Nov Average, France, FRA
3.64199, 1947, Dec Average, France, FRA
5.78311, 1948, Jan Average, France, FRA
4.25492, 1948, Feb Average, France, FRA
9.35983, 1948, Mar Average, France, FRA
10.347, 1948, Apr Average, France, FRA
13.9525, 1948, May Average, France, FRA
15.9181, 1948, Jun Average, France, FRA
16.982, 1948, Jul Average, France, FRA
17.9728, 1948, Aug Average, France, FRA
15.3658, 1948, Sep Average, France, FRA
11.4017, 1948, Oct Average, France, FRA
6.85023, 1948, Nov Average, France, FRA
4.3165, 1948, Dec Average, France, FRA
3.96348, 1949, Jan Average, France, FRA
4.32991, 1949, Feb Average, France, FRA
5.37169, 1949, Mar Average, France, FRA
11.8822, 1949, Apr Average, France, FRA
11.9545, 1949, May Average, France, FRA
16.5423, 1949, Jun Average, France, FRA
20.3286, 1949, Jul Average, France, FRA
19.6337, 1949, Aug Average, France, FRA
19.0469, 1949, Sep Average, France, FRA
13.3311, 1949, Oct Average, France, FRA
6.17987, 1949, Nov Average, France, FRA
4.93218, 1949, Dec Average, France, FRA
2.46377, 1950, Jan Average, France, FRA
6.28442, 1950, Feb Average, France, FRA
7.45004, 1950, Mar Average, France, FRA
8.40796, 1950, Apr Average, France, FRA
14.1103, 1950, May Average, France, FRA
18.6191, 1950, Jun Average, France, FRA
20.318, 1950, Jul Average, France, FRA
18.8897, 1950, Aug Average, France, FRA
15.1361, 1950, Sep Average, France, FRA
11.1185, 1950, Oct Average, France, FRA
7.38157, 1950, Nov Average, France, FRA
1.05209, 1950, Dec Average, France, FRA
4.44043, 1951, Jan Average, France, FRA
4.61018, 1951, Feb Average, France, FRA
5.68586, 1951, Mar Average, France, FRA
8.97232, 1951, Apr Average, France, FRA
11.5678, 1951, May Average, France, FRA
15.9865, 1951, Jun Average, France, FRA
18.4732, 1951, Jul Average, France, FRA
