Temperature - (Celsius), Year, Statistics, Country, ISO3
11.7746, 1984, Oct Average, France, FRA
8.9852, 1984, Nov Average, France, FRA
4.19488, 1984, Dec Average, France, FRA
-1.4221, 1985, Jan Average, France, FRA
3.64408, 1985, Feb Average, France, FRA
5.02748, 1985, Mar Average, France, FRA
9.84693, 1985, Apr Average, France, FRA
12.407, 1985, May Average, France, FRA
15.2585, 1985, Jun Average, France, FRA
19.4874, 1985, Jul Average, France, FRA
17.5872, 1985, Aug Average, France, FRA
17.3378, 1985, Sep Average, France, FRA
12.221, 1985, Oct Average, France, FRA
4.05942, 1985, Nov Average, France, FRA
5.14875, 1985, Dec Average, France, FRA
3.73386, 1986, Jan Average, France, FRA
-0.6148, 1986, Feb Average, France, FRA
5.85573, 1986, Mar Average, France, FRA
6.75792, 1986, Apr Average, France, FRA
13.8125, 1986, May Average, France, FRA
17.0346, 1986, Jun Average, France, FRA
18.8651, 1986, Jul Average, France, FRA
17.7649, 1986, Aug Average, France, FRA
15.0486, 1986, Sep Average, France, FRA
13.1352, 1986, Oct Average, France, FRA
7.6654, 1986, Nov Average, France, FRA
4.75907, 1986, Dec Average, France, FRA
-1.2751, 1987, Jan Average, France, FRA
3.55235, 1987, Feb Average, France, FRA
4.73045, 1987, Mar Average, France, FRA
10.8966, 1987, Apr Average, France, FRA
11.2862, 1987, May Average, France, FRA
15.0314, 1987, Jun Average, France, FRA
18.6265, 1987, Jul Average, France, FRA
18.6577, 1987, Aug Average, France, FRA
17.827, 1987, Sep Average, France, FRA
12.491, 1987, Oct Average, France, FRA
6.89917, 1987, Nov Average, France, FRA
4.94039, 1987, Dec Average, France, FRA
6.32882, 1988, Jan Average, France, FRA
4.66196, 1988, Feb Average, France, FRA
6.43592, 1988, Mar Average, France, FRA
10.1256, 1988, Apr Average, France, FRA
13.8507, 1988, May Average, France, FRA
16.1628, 1988, Jun Average, France, FRA
17.8222, 1988, Jul Average, France, FRA
18.8138, 1988, Aug Average, France, FRA
15.575, 1988, Sep Average, France, FRA
12.8449, 1988, Oct Average, France, FRA
6.01017, 1988, Nov Average, France, FRA
5.56699, 1988, Dec Average, France, FRA
3.80807, 1989, Jan Average, France, FRA
5.29458, 1989, Feb Average, France, FRA
9.21935, 1989, Mar Average, France, FRA
8.14972, 1989, Apr Average, France, FRA
15.6158, 1989, May Average, France, FRA
16.9748, 1989, Jun Average, France, FRA
20.3147, 1989, Jul Average, France, FRA
19.5778, 1989, Aug Average, France, FRA
16.3774, 1989, Sep Average, France, FRA
13.0111, 1989, Oct Average, France, FRA
6.74878, 1989, Nov Average, France, FRA
5.59757, 1989, Dec Average, France, FRA
4.33983, 1990, Jan Average, France, FRA
8.6543, 1990, Feb Average, France, FRA
8.57963, 1990, Mar Average, France, FRA
8.81489, 1990, Apr Average, France, FRA
15.4288, 1990, May Average, France, FRA
16.0318, 1990, Jun Average, France, FRA
19.7394, 1990, Jul Average, France, FRA
20.6477, 1990, Aug Average, France, FRA
15.8588, 1990, Sep Average, France, FRA
13.3429, 1990, Oct Average, France, FRA
7.09193, 1990, Nov Average, France, FRA
2.65788, 1990, Dec Average, France, FRA
