Temperature - (Celsius), Year, Statistics, Country, ISO3
3.16961, 1961, Jan Average, France, FRA
7.34383, 1961, Feb Average, France, FRA
8.07103, 1961, Mar Average, France, FRA
11.7598, 1961, Apr Average, France, FRA
12.5315, 1961, May Average, France, FRA
16.7146, 1961, Jun Average, France, FRA
17.7418, 1961, Jul Average, France, FRA
17.8555, 1961, Aug Average, France, FRA
18.5682, 1961, Sep Average, France, FRA
12.2888, 1961, Oct Average, France, FRA
6.19707, 1961, Nov Average, France, FRA
4.35235, 1961, Dec Average, France, FRA
4.69997, 1962, Jan Average, France, FRA
3.43905, 1962, Feb Average, France, FRA
3.82236, 1962, Mar Average, France, FRA
9.08865, 1962, Apr Average, France, FRA
11.5158, 1962, May Average, France, FRA
15.8442, 1962, Jun Average, France, FRA
17.6795, 1962, Jul Average, France, FRA
18.7108, 1962, Aug Average, France, FRA
15.4448, 1962, Sep Average, France, FRA
11.7763, 1962, Oct Average, France, FRA
5.01708, 1962, Nov Average, France, FRA
0.91417, 1962, Dec Average, France, FRA
-1.7497, 1963, Jan Average, France, FRA
-0.609, 1963, Feb Average, France, FRA
6.29772, 1963, Mar Average, France, FRA
9.63992, 1963, Apr Average, France, FRA
12.1601, 1963, May Average, France, FRA
15.7891, 1963, Jun Average, France, FRA
18.5954, 1963, Jul Average, France, FRA
16.4073, 1963, Aug Average, France, FRA
15.0938, 1963, Sep Average, France, FRA
11.1728, 1963, Oct Average, France, FRA
9.19442, 1963, Nov Average, France, FRA
0.89365, 1963, Dec Average, France, FRA
0.67696, 1964, Jan Average, France, FRA
5.04595, 1964, Feb Average, France, FRA
5.39934, 1964, Mar Average, France, FRA
9.56292, 1964, Apr Average, France, FRA
14.5938, 1964, May Average, France, FRA
16.9058, 1964, Jun Average, France, FRA
19.7614, 1964, Jul Average, France, FRA
18.2525, 1964, Aug Average, France, FRA
16.7165, 1964, Sep Average, France, FRA
9.54793, 1964, Oct Average, France, FRA
6.79665, 1964, Nov Average, France, FRA
2.80064, 1964, Dec Average, France, FRA
3.39792, 1965, Jan Average, France, FRA
1.32532, 1965, Feb Average, France, FRA
6.46908, 1965, Mar Average, France, FRA
8.67083, 1965, Apr Average, France, FRA
12.7091, 1965, May Average, France, FRA
16.1955, 1965, Jun Average, France, FRA
16.7105, 1965, Jul Average, France, FRA
17.0563, 1965, Aug Average, France, FRA
13.6086, 1965, Sep Average, France, FRA
12.009, 1965, Oct Average, France, FRA
6.26721, 1965, Nov Average, France, FRA
5.64021, 1965, Dec Average, France, FRA
2.25897, 1966, Jan Average, France, FRA
7.74801, 1966, Feb Average, France, FRA
5.9979, 1966, Mar Average, France, FRA
10.4911, 1966, Apr Average, France, FRA
13.1363, 1966, May Average, France, FRA
17.0347, 1966, Jun Average, France, FRA
16.7447, 1966, Jul Average, France, FRA
17.109, 1966, Aug Average, France, FRA
16.4977, 1966, Sep Average, France, FRA
12.7616, 1966, Oct Average, France, FRA
4.81994, 1966, Nov Average, France, FRA
5.1355, 1966, Dec Average, France, FRA
3.08599, 1967, Jan Average, France, FRA
5.21843, 1967, Feb Average, France, FRA
7.62006, 1967, Mar Average, France, FRA
8.75218, 1967, Apr Average, France, FRA
12.4134, 1967, May Average, France, FRA
15.5087, 1967, Jun Average, France, FRA
19.9125, 1967, Jul Average, France, FRA
18.1002, 1967, Aug Average, France, FRA
15.2547, 1967, Sep Average, France, FRA
13.2753, 1967, Oct Average, France, FRA
6.84544, 1967, Nov Average, France, FRA
2.40142, 1967, Dec Average, France, FRA
3.0022, 1968, Jan Average, France, FRA
4.21842, 1968, Feb Average, France, FRA
6.67803, 1968, Mar Average, France, FRA
9.8242, 1968, Apr Average, France, FRA
11.6806, 1968, May Average, France, FRA
15.815, 1968, Jun Average, France, FRA
17.8029, 1968, Jul Average, France, FRA
17.1487, 1968, Aug Average, France, FRA
15.0464, 1968, Sep Average, France, FRA
13.3058, 1968, Oct Average, France, FRA
6.5108, 1968, Nov Average, France, FRA
2.98668, 1968, Dec Average, France, FRA
4.41502, 1969, Jan Average, France, FRA
2.00534, 1969, Feb Average, France, FRA
6.24188, 1969, Mar Average, France, FRA
9.1817, 1969, Apr Average, France, FRA
13.1519, 1969, May Average, France, FRA
14.8245, 1969, Jun Average, France, FRA
19.1876, 1969, Jul Average, France, FRA
18.0896, 1969, Aug Average, France, FRA
15.6971, 1969, Sep Average, France, FRA
12.6245, 1969, Oct Average, France, FRA
6.88228, 1969, Nov Average, France, FRA
0.96551, 1969, Dec Average, France, FRA
3.81423, 1970, Jan Average, France, FRA
4.33924, 1970, Feb Average, France, FRA
4.23706, 1970, Mar Average, France, FRA
7.55829, 1970, Apr Average, France, FRA
12.8372, 1970, May Average, France, FRA
17.6695, 1970, Jun Average, France, FRA
17.8412, 1970, Jul Average, France, FRA
18.3273, 1970, Aug Average, France, FRA
16.5509, 1970, Sep Average, France, FRA
10.9579, 1970, Oct Average, France, FRA
8.45609, 1970, Nov Average, France, FRA
2.14766, 1970, Dec Average, France, FRA
2.66371, 1971, Jan Average, France, FRA
3.90981, 1971, Feb Average, France, FRA
3.55274, 1971, Mar Average, France, FRA
10.62, 1971, Apr Average, France, FRA
13.7324, 1971, May Average, France, FRA
14.839, 1971, Jun Average, France, FRA
19.7402, 1971, Jul Average, France, FRA
18.7982, 1971, Aug Average, France, FRA
15.6107, 1971, Sep Average, France, FRA
11.9946, 1971, Oct Average, France, FRA
5.29692, 1971, Nov Average, France, FRA
4.23354, 1971, Dec Average, France, FRA
3.09399, 1972, Jan Average, France, FRA
5.55664, 1972, Feb Average, France, FRA
7.8358, 1972, Mar Average, France, FRA
8.76452, 1972, Apr Average, France, FRA
11.7511, 1972, May Average, France, FRA
14.2232, 1972, Jun Average, France, FRA
18.1033, 1972, Jul Average, France, FRA
17.049, 1972, Aug Average, France, FRA
13.1423, 1972, Sep Average, France, FRA
10.6763, 1972, Oct Average, France, FRA
7.19601, 1972, Nov Average, France, FRA
3.98038, 1972, Dec Average, France, FRA
2.53418, 1973, Jan Average, France, FRA
3.1191, 1973, Feb Average, France, FRA
5.78502, 1973, Mar Average, France, FRA
7.55919, 1973, Apr Average, France, FRA
13.6061, 1973, May Average, France, FRA
17.0369, 1973, Jun Average, France, FRA
18.2096, 1973, Jul Average, France, FRA
20.0737, 1973, Aug Average, France, FRA
16.7344, 1973, Sep Average, France, FRA
10.2989, 1973, Oct Average, France, FRA
6.4855, 1973, Nov Average, France, FRA
3.43409, 1973, Dec Average, France, FRA
5.99759, 1974, Jan Average, France, FRA
5.31188, 1974, Feb Average, France, FRA
7.28782, 1974, Mar Average, France, FRA
9.27503, 1974, Apr Average, France, FRA
12.3261, 1974, May Average, France, FRA
15.8671, 1974, Jun Average, France, FRA
17.7266, 1974, Jul Average, France, FRA
18.5834, 1974, Aug Average, France, FRA
14.4616, 1974, Sep Average, France, FRA
7.75749, 1974, Oct Average, France, FRA
7.37247, 1974, Nov Average, France, FRA
6.56819, 1974, Dec Average, France, FRA
6.05491, 1975, Jan Average, France, FRA
5.25968, 1975, Feb Average, France, FRA
5.19528, 1975, Mar Average, France, FRA
8.91472, 1975, Apr Average, France, FRA
12.0143, 1975, May Average, France, FRA
15.8123, 1975, Jun Average, France, FRA
19.1394, 1975, Jul Average, France, FRA
19.8261, 1975, Aug Average, France, FRA
16.0234, 1975, Sep Average, France, FRA
10.1582, 1975, Oct Average, France, FRA
6.50569, 1975, Nov Average, France, FRA
2.4126, 1975, Dec Average, France, FRA
3.77225, 1976, Jan Average, France, FRA
4.57028, 1976, Feb Average, France, FRA
5.80439, 1976, Mar Average, France, FRA
8.88651, 1976, Apr Average, France, FRA
14.0042, 1976, May Average, France, FRA
19.6062, 1976, Jun Average, France, FRA
20.2756, 1976, Jul Average, France, FRA
18.9309, 1976, Aug Average, France, FRA
14.6672, 1976, Sep Average, France, FRA
11.6617, 1976, Oct Average, France, FRA
6.27845, 1976, Nov Average, France, FRA
3.04703, 1976, Dec Average, France, FRA
3.58314, 1977, Jan Average, France, FRA
6.65479, 1977, Feb Average, France, FRA
8.23403, 1977, Mar Average, France, FRA
8.23455, 1977, Apr Average, France, FRA
11.9663, 1977, May Average, France, FRA
14.8406, 1977, Jun Average, France, FRA
17.6261, 1977, Jul Average, France, FRA
16.8341, 1977, Aug Average, France, FRA
14.6198, 1977, Sep Average, France, FRA
12.9196, 1977, Oct Average, France, FRA
6.87684, 1977, Nov Average, France, FRA
5.03044, 1977, Dec Average, France, FRA
2.99958, 1978, Jan Average, France, FRA
3.85741, 1978, Feb Average, France, FRA
7.21369, 1978, Mar Average, France, FRA
7.72675, 1978, Apr Average, France, FRA
12.145, 1978, May Average, France, FRA
15.0395, 1978, Jun Average, France, FRA
17.215, 1978, Jul Average, France, FRA
17.1122, 1978, Aug Average, France, FRA
15.5306, 1978, Sep Average, France, FRA
11.3952, 1978, Oct Average, France, FRA
6.05454, 1978, Nov Average, France, FRA
5.0802, 1978, Dec Average, France, FRA
1.3538, 1979, Jan Average, France, FRA
3.92152, 1979, Feb Average, France, FRA
6.64802, 1979, Mar Average, France, FRA
8.14483, 1979, Apr Average, France, FRA
12.3259, 1979, May Average, France, FRA
16.4554, 1979, Jun Average, France, FRA
18.5929, 1979, Jul Average, France, FRA
17.0235, 1979, Aug Average, France, FRA
15.563, 1979, Sep Average, France, FRA
12.3665, 1979, Oct Average, France, FRA
6.28423, 1979, Nov Average, France, FRA
5.43971, 1979, Dec Average, France, FRA
1.97045, 1980, Jan Average, France, FRA
6.14399, 1980, Feb Average, France, FRA
6.05077, 1980, Mar Average, France, FRA
8.33653, 1980, Apr Average, France, FRA
11.7666, 1980, May Average, France, FRA
14.8437, 1980, Jun Average, France, FRA
16.3638, 1980, Jul Average, France, FRA
18.7452, 1980, Aug Average, France, FRA
16.5603, 1980, Sep Average, France, FRA
10.5757, 1980, Oct Average, France, FRA
5.35365, 1980, Nov Average, France, FRA
2.55439, 1980, Dec Average, France, FRA
2.99642, 1981, Jan Average, France, FRA
2.42957, 1981, Feb Average, France, FRA
9.07722, 1981, Mar Average, France, FRA
10.0131, 1981, Apr Average, France, FRA
12.471, 1981, May Average, France, FRA
15.9363, 1981, Jun Average, France, FRA
17.4276, 1981, Jul Average, France, FRA
18.84, 1981, Aug Average, France, FRA
16.2622, 1981, Sep Average, France, FRA
11.2823, 1981, Oct Average, France, FRA
6.79356, 1981, Nov Average, France, FRA
4.04871, 1981, Dec Average, France, FRA
4.62609, 1982, Jan Average, France, FRA
4.86889, 1982, Feb Average, France, FRA
6.24737, 1982, Mar Average, France, FRA
9.29442, 1982, Apr Average, France, FRA
13.3789, 1982, May Average, France, FRA
17.5786, 1982, Jun Average, France, FRA
20.2701, 1982, Jul Average, France, FRA
17.9456, 1982, Aug Average, France, FRA
17.496, 1982, Sep Average, France, FRA
11.324, 1982, Oct Average, France, FRA
8.26727, 1982, Nov Average, France, FRA
4.78871, 1982, Dec Average, France, FRA
5.03271, 1983, Jan Average, France, FRA
2.25382, 1983, Feb Average, France, FRA
6.85003, 1983, Mar Average, France, FRA
8.96044, 1983, Apr Average, France, FRA
11.4405, 1983, May Average, France, FRA
17.2127, 1983, Jun Average, France, FRA
22.1943, 1983, Jul Average, France, FRA
19.3882, 1983, Aug Average, France, FRA
16.3189, 1983, Sep Average, France, FRA
11.7508, 1983, Oct Average, France, FRA
7.37172, 1983, Nov Average, France, FRA
4.10306, 1983, Dec Average, France, FRA
4.02851, 1984, Jan Average, France, FRA
3.3009, 1984, Feb Average, France, FRA
5.11954, 1984, Mar Average, France, FRA
9.44813, 1984, Apr Average, France, FRA
10.2567, 1984, May Average, France, FRA
15.8178, 1984, Jun Average, France, FRA
18.9276, 1984, Jul Average, France, FRA
18.3991, 1984, Aug Average, France, FRA
14.6144, 1984, Sep Average, France, FRA
